location_name,cause_name,measure,number_change_2050_2019,age_structure_contribution,age_structure_contribution_Q1,age_structure_contribution_Q3,population_size_contribution,population_size_contribution_Q1,population_size_contribution_Q3,all_other_reasons_contribution,all_other_reasons_contribution_Q1,all_other_reasons_contribution_Q3,number_attributed_to_age_structure,number_attributed_to_age_structure_Q1,number_attributed_to_age_structure_Q3,number_attributed_to_population_size,number_attributed_to_population_size_Q1,number_attributed_to_population_size_Q3,number_attributed_to_all_other_reasons,number_attributed_to_all_other_reasons_Q1,number_attributed_to_all_other_reasons_Q3
Madagascar,All causes,DALYs,4427426.3,30.6,25.1,36.1,99.4,53.3,70.3,-30.1,-6.4,21.6,1355797.6,1110220.5,1597806.5,4402448.8,2359885.7,3112779.5,-1330820.1,-283159.8,957320.2
Malawi,All causes,DALYs,3304319.6,30.2,24.7,35.6,83.7,71.6,71.6,-13.9,-7.2,3.8,998500.8,1177322.2,814602,2766498,2364548.6,2366171.5,-460679.1,-239174,125169.1
Mozambique,All causes,DALYs,31499646.4,15.6,11,21.4,53.3,42.7,72.5,31.1,16.6,35.9,4906040.2,3457506.3,6750386.3,16800245.9,13448472.3,22827647.2,9793360.3,11300787.8,5214492.8
Rwanda,All causes,DALYs,-1260134.2,45.6,42.4,47.8,67.8,75,80.3,-13.4,-17.4,-28.1,-574694,-533998.6,-602273.2,-853767.8,-1011954.4,-945691.6,168327.6,219556.1,354093.5
Somalia,All causes,DALYs,1593724.8,10.5,-70.9,37.4,149,114.1,814.2,-59.5,-51.5,-643.4,167111.8,-1129286.4,596626.1,2375220.4,12976885.1,1817822.6,-948607.4,-10253873.9,-820723.9
United Republic of Tanzania,All causes,DALYs,11608852.1,12.2,1,24.3,139.3,130.4,159.3,-51.5,-54.8,-60.3,1416062,118483,2825507.3,16175478.4,15143107.1,18495891.2,-5982688.3,-6359762.2,-7005522.1
Uganda,All causes,DALYs,101696.4,32,-52.6,94.2,195.1,-879.9,1951.4,-127.2,-1798.8,885.7,32588.7,-53483.9,95800.4,198434.7,-894865,1984458.2,-129327,-1829277.9,900760.9
Zambia,All causes,DALYs,3774869.3,27.6,23,32.9,92.8,83.4,88.3,-20.4,-21.1,-6.4,1041441.2,1241376,867957.4,3503991,3149915.8,3331543.3,-770562.9,-243003.9,-798049.9
South Sudan,All causes,DALYs,2101307.1,-2.8,-38.7,17.4,143.5,136.9,405.2,-40.7,-266.6,-54.3,-59621.1,-812165.5,366456.6,3015705,2876580.9,8514958.9,-854776.8,-1141730.4,-5601486.3
Botswana,All causes,DALYs,358478,39,37.6,40,54,51.5,54.7,7,7.7,8.5,139853.7,134832,143398.2,193607.3,184438.3,196119.6,25016.9,27526.4,30641.4
Lesotho,All causes,DALYs,2271536,-16.4,-233.9,17.7,34.8,-21.4,27.1,81.5,355.3,55.2,-371864.7,-5313348.5,402243.6,791526.9,-486114.7,615525.3,1851873.7,1253767.1,8070999.2
Namibia,All causes,DALYs,615645.4,28,24.5,31.4,55.5,66.2,74.3,16.5,1.2,2.3,172267.6,150635.8,193571.4,341501,407761.1,457505.1,101876.8,14312.9,7504.4
South Africa,All causes,DALYs,25347210.4,15.8,10.4,21.2,45.6,37.2,46.7,38.6,41.6,43,4014693.7,2623831.2,5376383.6,11553032.8,11833030.2,9430171.4,9779483.9,10540655.4,10890348.9
Eswatini,All causes,DALYs,850165.5,7.4,-4.5,17.2,52.1,41.1,70.2,40.5,34.2,41.7,63228.7,-38014.3,145948.6,443018.6,349510.8,597149.1,343918.2,291030.7,354706.1
Zimbabwe,All causes,DALYs,8794845.3,-0.6,-17,12.3,71.1,109.2,53.6,29.5,34.1,7.8,-49967.3,-1497918.7,1079889.8,6253136.3,4718379.6,9606257,2591676.3,2996575.9,686507
Benin,All causes,DALYs,957758.7,-6.8,-181.6,31.3,327.3,1633.6,167.4,-220.5,-1352,-98.8,-65511.8,-1739300.2,300244.6,3134771.9,15646171.3,1603394.4,-2111501.5,-12949112.4,-945880.3
Burkina Faso,All causes,DALYs,93974.9,56.8,-111,156,-99.3,-288.4,354.1,142.5,-143.1,232.5,53383.5,-104319.1,146565.1,-93327.9,-271043,332758.3,133919.4,-134464.3,218452.8
Cameroon,All causes,DALYs,8524880.1,20.4,15.3,27.5,53.5,69.6,77.5,26.1,-5,15.1,1742729.1,1304208.8,2343647.4,4560056.2,5935190.3,6608680.6,2222094.8,-427447.9,1285481
Cabo Verde,All causes,DALYs,23384.7,43,41.4,44.5,37.8,37.1,37.8,19.3,17.7,21.6,10044.6,10404.5,9669.9,8838.4,8668.8,8833.4,4501.7,4146.8,5046
Chad,All causes,DALYs,3031883.2,89,-649.2,666.4,-194.7,-1519,1679.8,205.7,-930.6,952.7,2699656.6,-19683184.2,20204212.1,-5904075.6,-46055597.6,50928701.3,6236302.2,-28213633.9,28883268.7
Côte d'Ivoire,All causes,DALYs,4690359.5,11.7,0,26.4,154.6,130.6,162,-66.3,-57.1,-62.1,549008.8,1239249,797.9,7251994.4,6127304.5,7600353.7,-3110643.7,-2676194.1,-2910792.1
Gambia,All causes,DALYs,306619,28.1,22.8,33.8,100.8,111.3,91.5,-28.9,-25.3,-34.1,86050.3,103705.7,69928.7,309060.2,280434.8,341337.5,-88491.5,-104647.2,-77521.4
Ghana,All causes,DALYs,5681478.1,29.7,26.1,34.4,71.2,68.3,70.9,-0.9,-5.2,5.6,1688465,1484771.1,1952387.5,4043274.1,3879307.1,4026778.4,-50261,-297687.8,317399.9
Guinea,All causes,DALYs,4484926,7.2,-3.7,16,78.1,122.5,55,14.8,-18.8,29,322179,-163749.6,715869.9,3501169,2466419.9,5491928.1,661578,-843252.6,1302636.2
Guinea-Bissau,All causes,DALYs,42165,36.6,27.8,42.3,105.1,135.6,85.3,-41.8,-27.6,-63.4,15444.9,11723.5,17846.4,44333.3,35971.3,57187.2,-17613.2,-11652.7,-26745.7
Liberia,All causes,DALYs,97633.5,37.2,29.5,41.5,90.3,77.4,81.3,-27.5,-10.8,-18.8,36294.9,28804.3,40480,88159,75535.3,79369.9,-26820.5,-10540.7,-18381.8
Mali,All causes,DALYs,757879.5,65.6,-114.3,229.4,-185.1,-390.8,331.3,219.5,-117,261.3,497112.6,-865976.2,1738890.5,-1402956.2,-2961725.5,2510831.8,1663723,-886976.1,1980714.5
Mauritania,All causes,DALYs,281002.1,32.9,25.9,37.5,121.4,106.4,131.2,-54.3,-43.9,-57,92377.7,105293.6,72646.9,341112.5,299082.8,368621.7,-152488,-123374.2,-160266.5
Niger,All causes,DALYs,9484196.4,-74.8,-363.3,-6.6,298.3,1080.2,91.5,-123.5,-616.9,15.1,-7097669.4,-34460649.4,-627503.6,28295635.7,102448245.1,8680644.1,-11713769.9,-58503399.3,1431056
Nigeria,All causes,DALYs,58160913.5,7.5,-4.9,20.8,76.7,103.5,43.1,15.9,1.4,36.1,4346772.6,-2838904.6,12118676.5,44581131.3,25060421.4,60180054.7,9233009.7,20981815.7,819763.4
Sao Tome and Principe,All causes,DALYs,181081.6,-84.8,-848.5,537.9,89.8,-173.5,428.6,94.9,-264.4,519.8,-153537,-1536413.5,974042.2,162694.3,-314254.7,776170.5,171924.3,-478705.9,941324.6
Senegal,All causes,DALYs,2573529.7,23.2,17.1,29.7,106.4,103.7,87.2,-29.6,-33.4,-4.3,597374.6,439738.7,764014.4,2738852.1,2244130.8,2669433.8,-762697,-110339.8,-859918.5
Sierra Leone,All causes,DALYs,201010.6,17.7,-12.7,37,77.5,496.9,95.9,4.7,-32.9,-384.2,35658.8,-25613.6,74419.5,155849.1,192702.3,998822.5,9502.7,-66111.1,-772198.2
Togo,All causes,DALYs,1365201.7,23.5,17.3,32.3,116,118.2,85.1,-39.5,-17.4,-35.5,320938.2,236454.9,441194.6,1583663.1,1161944.4,1613738.5,-539399.6,-237937.2,-484991.7
Global,All causes,DALYs,289197228,43.8,42.2,45.3,49.6,51,52.7,6.7,2.1,6.8,126582837.6,122118033.9,130920868.6,143312016.5,147440926.9,152277060.5,19302373.9,19638267.2,5999299
World Bank High Income,All causes,DALYs,6463966.9,54.8,52.4,58,42.7,42.7,44.6,2.5,-2.6,4.9,3541555.7,3386291.2,3746278.8,2758003.9,2760363.2,2883967.1,164407.2,-166279,317312.4
World Bank Upper Middle Income,All causes,DALYs,-7178361,46.9,45.3,49,35.5,35.4,36.1,17.7,15,19.3,-3363283.7,-3250105.3,-3514075.3,-2544913.2,-2541758.3,-2588883.3,-1270164.1,-1075402.4,-1386497.3
World Bank Lower Middle Income,All causes,DALYs,154022635.4,41.6,39.4,43.5,47.3,45,47.9,11.1,15.6,8.7,64105592.4,60694100.8,66945860.4,72817451.9,69330585.7,73709723,17099591.1,13367052,23997948.9
World Bank Low Income,All causes,DALYs,176353789.9,16.3,13.9,19.1,97.1,94.7,95.3,-13.4,-14.4,-8.7,28755929.3,24591261.3,33712808.8,171278024.1,167033749.2,167998038.8,-23680163.5,-15271220.5,-25357057.6
