location_name,cause_name,measure,number_change_2050_2019,age_structure_contribution,age_structure_contribution_Q1,age_structure_contribution_Q3,population_size_contribution,population_size_contribution_Q1,population_size_contribution_Q3,all_other_reasons_contribution,all_other_reasons_contribution_Q1,all_other_reasons_contribution_Q3,number_attributed_to_age_structure,number_attributed_to_age_structure_Q1,number_attributed_to_age_structure_Q3,number_attributed_to_population_size,number_attributed_to_population_size_Q1,number_attributed_to_population_size_Q3,number_attributed_to_all_other_reasons,number_attributed_to_all_other_reasons_Q1,number_attributed_to_all_other_reasons_Q3
Puerto Rico,All causes,DALYs,-392565,55.9,49.6,69,20.9,14,25.3,23.2,17,25.2,-219305.4,-194591.1,-270749.6,-82196.4,-55142.8,-99181.3,-91063.2,-66672.6,-98792.6
United States Virgin Islands,All causes,DALYs,155255.2,35.8,35.5,36.2,43.6,43.3,43.9,20.6,19.9,21.1,55608,55157.7,56197,67721.9,67265.1,68220.4,31925.2,30837.9,32832.4
Colombia,All causes,DALYs,-987764.5,45.3,42.7,47.5,41.2,40,43.4,13.4,17.4,9.1,-447641.5,-421484.1,-469528.4,-407408.8,-394851.9,-428318.7,-132714.1,-171428.4,-89917.4
Costa Rica,All causes,DALYs,655625,51.7,47.1,59.2,37,35.3,36.7,11.2,17.6,4.1,339167.4,308632.5,387919.3,242809.1,231621.2,240801.2,73648.5,115371.3,26904.5
El Salvador,All causes,DALYs,-41385.3,43.4,41,45.4,37.7,36.4,39.5,18.9,15.1,22.6,-17950.4,-16967,-18803.7,-15616.8,-15075.4,-16329.7,-7818.1,-6251.9,-9342.9
Guatemala,All causes,DALYs,-298407.7,42.3,40.2,43.9,48.2,43.3,56.6,9.5,-0.5,16.5,-126093.4,-119905.7,-131029.6,-143890.6,-129196,-168782.7,-28423.8,-49306.1,1404.7
Honduras,All causes,DALYs,869297.5,40.3,38.8,41.3,38,37.8,41.4,21.7,17.3,23.3,350513.5,337555.6,358984.6,330466.5,328940.4,360296.3,188317.6,150016.6,202801.5
Mexico,All causes,DALYs,10036174.3,44.6,41.4,47.2,41.6,36.8,40.2,13.8,12.6,21.8,4475351.1,4154740.9,4737238.7,4178683.6,3691491.1,4030243.2,1382139.7,1268692.5,2189942.3
Nicaragua,All causes,DALYs,184860.6,41.8,40.4,42.9,39,37.8,39.4,19.2,17.7,21.9,77318.1,74626.1,79331.7,72042.7,69825.7,72869.2,35499.7,32659.6,40408.7
Panama,All causes,DALYs,567256.7,41.7,39.4,43.5,50.8,47,58.9,7.5,-2.5,13.6,236513.2,223596.2,247001.2,287975.5,266576.1,334259.4,42768,-14003.9,77084.4
Venezuela (Bolivarian Republic of),All causes,DALYs,2716473,42.2,38.9,44.4,47.8,43.8,47.8,10,17.3,7.9,1147621.8,1057734,1205259.7,1297588.7,1189432.1,1297513,271262.5,213700.4,469306.9
Brazil,All causes,DALYs,3146853.2,46.8,43.2,50.2,34.5,33.9,36.3,18.7,13.5,22.9,1473001.5,1360446.1,1578418.2,1086287.5,1065808.4,1143374.2,587564.1,425060.8,720598.6
Paraguay,All causes,DALYs,631753,42.2,39.3,44.2,45.4,39.9,51.7,12.4,20.7,4.1,266535.2,248584,279302.9,286594.9,252261.5,326493.8,78622.9,130907.5,25956.3
Afghanistan,All causes,DALYs,4205611.2,33,29.5,37.8,61.7,40.4,76.3,5.2,-14.1,30.1,1388905.5,1239020.1,1590400.2,2596782.9,1700954.5,3210196.1,219922.8,-594985.1,1265636.5
Algeria,All causes,DALYs,1337903.3,42.1,40.7,43.5,45.4,43.7,45.7,12.5,10.9,15.6,563220.1,544596.5,581786.6,607698.2,584990,610857.2,166985,145259.6,208316.8
Bahrain,All causes,DALYs,208121.6,66.4,55.9,96.9,64,50.5,95.6,-30.4,-6.4,-92.4,138165.4,116239.6,201601.3,133284.9,105101.7,198885.3,-63328.6,-13219.6,-192365
Egypt,All causes,DALYs,15768798.8,37.5,35.8,39,55.6,44.2,51.1,7,20.1,9.9,5911837.6,5641039.5,6143913.5,8759633.7,6962764.4,8057820.5,1097327.5,1567064.8,3164994.9
Iran (Islamic Republic of),All causes,DALYs,1583362.4,42.8,41.8,44,38.8,37.6,39.1,18.4,17,20.6,677683.1,662147.5,696266,613983.8,594786.8,618304.7,291695.5,268791.7,326428.1
Iraq,All causes,DALYs,5697759.3,34.6,32.1,36.7,64.5,53.2,65.9,0.9,10,2,1973453.4,1828745,2092271.6,3674054.2,3033855.6,3753588.8,50251.7,115425.5,571632.1
Jordan,All causes,DALYs,-168301.8,46.8,44.8,48.9,38.7,38.3,39.6,14.5,11.6,17,-78782.3,-75362.5,-82233.5,-65177.4,-64389.2,-66571,-24342.1,-19497.4,-28550.1
Kuwait,All causes,DALYs,267848.8,49.2,46.4,54.4,39.2,35.4,38.3,11.7,18.2,7.2,131683.6,124397.5,145833.3,104891.8,102608.3,94806.8,31273.4,19407.3,48644.5
Lebanon,All causes,DALYs,351057.3,43.3,41.9,44.8,37.8,36.1,37.9,18.8,17.3,22,152122.5,147089.1,157170.2,132765,126712.8,133034,66169.8,60853,77255.4
Libya,All causes,DALYs,762627,45.9,43.3,49.2,41.7,37.6,41.3,12.4,19,9.4,349887.2,330515.1,375539.6,318099.3,286921.9,315195.2,94640.5,145190,71892.1
Morocco,All causes,DALYs,2991861.4,41.5,39.8,42.8,37.7,36.5,39.5,20.8,17.6,23.8,1242088.9,1189473.9,1281607.3,1128389.9,1091122.6,1182982.1,621382.6,527272,711264.9
Palestine,All causes,DALYs,378722.5,39.6,38.1,40.4,47.7,50.8,53.1,12.7,11.1,6.5,149850.1,144234.8,153109.2,180611.9,192287.4,201013.4,48260.5,24599.9,42200.3
Oman,All causes,DALYs,760770.2,44.1,43.2,45.1,38.4,37.5,39,17.5,15.9,19.3,335812.2,328335.4,343032,292021.7,285256.3,296766.9,132936.2,120971.4,147178.6
Qatar,All causes,DALYs,808020.4,14.5,18.3,9,36,35,35.7,49.5,46.7,55.3,116944.5,147998.7,72726,290880.5,282674.1,288703.3,400195.4,377347.7,446591.2
Saudi Arabia,All causes,DALYs,4585548.7,46.7,44.7,49.5,36,35.2,35.6,17.3,15.3,19.7,2142521.2,2049111.6,2271082.6,1648856.5,1612215.7,1634244.5,794171.1,702250.3,902192.6
Syrian Arab Republic,All causes,DALYs,9586834,21.9,17.1,25.7,69.8,63.8,72.3,8.3,10.5,10.6,2100009.2,1640847.2,2465273.7,6695693.1,6119451.8,6927568.7,791131.7,1002108.5,1018418.1
Tunisia,All causes,DALYs,396573.2,44.5,42.5,46.9,38.4,37.8,42.3,17.1,10.8,19.7,176549.3,168380.8,185973.9,152353.6,149889.1,167672.7,67670.3,42926.6,78303.2
Turkey,All causes,DALYs,1382311.4,43.8,42.4,45.3,36.6,35.9,38.5,19.6,16.2,21.7,605282.6,585591.1,626550.4,506425.7,496567.4,531639.4,270603,224121.7,300152.9
United Arab Emirates,All causes,DALYs,2531548,26.5,25.2,27.5,36.1,35.9,36.3,37.4,36.6,38.5,671228.5,637897.4,695315.7,912735.6,908808.9,920003.5,947583.9,927423.4,973647.2
Yemen,All causes,DALYs,1915455.4,34,30.1,39.5,47.9,42.2,62.5,18.1,-2,27.7,650944.2,576163.3,756881.7,917870.5,1197836.4,807861.5,346640.6,-39262.7,531430.6
Sudan,All causes,DALYs,6299480.8,28.6,25,33.1,68,60.4,77.9,3.4,-11,14.6,1803578.2,1573829.8,2084968.2,4281544.7,3805704.7,4907386.8,214357.8,-692874.3,919946.3
Bangladesh,All causes,DALYs,-7221634.4,42.4,39.5,44,40.6,38.1,41,16.9,15,22.4,-3064658.6,-2853938.3,-3174325.5,-2933372.1,-2752502.5,-2963193.1,-1223603.7,-1084115.8,-1615193.6
Bhutan,All causes,DALYs,54911.3,46.1,41.9,49.2,38.3,36.2,41.2,15.6,21.9,9.5,25297.8,23008.7,27026.5,21047.1,19892.6,22650.5,8566.4,12010,5234.3
India,All causes,DALYs,-23993433.4,43.4,40.5,45.5,39.1,37.5,42,17.5,12.5,22,-10409487.6,-10920671.3,-9710293.9,-9375672.9,-10073093.6,-8994721.8,-4208273,-2999668.5,-5288417.8
Nepal,All causes,DALYs,-721037.8,40.8,38,42.6,37.6,35.7,39.4,21.5,18,26.3,-294509.5,-273645.3,-306921.1,-271239,-257564.8,-284290.7,-155289.3,-129825.9,-189827.8
Pakistan,All causes,DALYs,46372149.2,29.2,26.2,35.5,74.8,54.5,68.9,-4.1,-4.4,19.3,13556100.6,12150883.2,16465206.2,34703219.8,25286433.6,31933305.3,-1887171.2,-2026362.4,8934832.4
China,All causes,DALYs,-46910823.6,44.5,42.7,47,33.4,33.4,34.5,22.1,18.6,23.8,-20864292.1,-20039238.6,-22035528.7,-15682642.7,-15691226.1,-16165726.1,-10363888.8,-11180358.8,-8709568.7
Democratic People's Republic of Korea,All causes,DALYs,-1326442.2,47.4,44.6,51.3,34.9,35.5,36.9,17.7,11.8,19.8,-628084.5,-592149.6,-680507.6,-463186.6,-471353,-489764.1,-235171.1,-156170.4,-262939.5
Taiwan (Province of China),All causes,DALYs,174182.5,49,46.1,53.5,30.4,30,32.1,20.6,16.5,21.7,85320.1,80343.3,93124.4,52952.3,52290.5,55958.2,35910.1,28767.6,37881
Guam,All causes,DALYs,154468.4,35.9,35.4,36.5,40.5,40.6,40.7,23.6,22.9,23.8,55512.4,54708.2,56357.8,62488.6,62716.4,62931,36467.4,35394.3,36829.2
Fiji,All causes,DALYs,220072.4,12.5,-90,104.7,22.4,-35.5,40.9,65.1,-45.6,225.5,27569,-198047.2,230448.3,49234.6,-78119.5,89992,143268.8,-100367.9,496239.1
Kiribati,All causes,DALYs,210687.5,35.5,35.1,36,35.5,34.9,36,29,28.9,29.1,74891.2,73965.6,75835,74789.9,73632.5,75873.1,61006.4,60848.8,61219.9
Micronesia (Federated States of),All causes,DALYs,273033.2,44.4,42.2,47.3,42.1,42.9,43.5,13.5,15,9.2,121273.1,115104.2,129206.3,114959.6,117068.2,118808.4,36800.5,25018.5,40860.8
Papua New Guinea,All causes,DALYs,1511387.6,30.4,26.1,37.2,53.9,57.4,76,15.6,-13.2,16.5,460035.1,394186.5,562122.5,815206.8,1148240.4,867453.6,236145.8,-198975.3,249747.5
Samoa,All causes,DALYs,157000.3,58.5,50.6,76.6,55.9,49.5,60.7,-14.5,-0.2,-37.4,91920.2,120302,79481,87823.8,77792.8,95357.3,-22743.6,-273.5,-58659
Solomon Islands,All causes,DALYs,420480,37.5,30.4,42.9,-53.2,-72.1,-92,115.6,129.2,161.6,157867.3,127972.3,180435.6,-223599.3,-303103.7,-387030.7,486212,543148.1,679538.4
Tonga,All causes,DALYs,211917.4,112.6,373.6,67.3,90.3,228.7,60.7,-102.8,-27.9,-502.3,238563.3,142603.8,791672.1,191274.1,128533.9,484735.8,-217920,-1064490.4,-59220.3
